Subject,資料集名稱,核心功能,地理範圍,時間範圍,資料粒度,應用場景 1,應用場景 2,應用場景 3,更新延遲,完整性,準確性,相關資料集,使用建議,Error,資料集總結
"- 名稱：台灣電力公司公用售電業售電統計資料
- 原始描述：本資料集包含公用售電業歷年售電量、歷年用戶數及歷年平均單價資料。
- 更新頻率：每1年
- 提供單位：企劃處
- 關鍵字：電燈、行業別用電、平均電價、用戶數
- 資料集備註：",台灣電力公司公用售電業售電統計資料,追蹤台灣公用售電業的年度營運狀況，提供售電量、用戶數及平均電價的歷史統計數據，以供能源政策分析與市場研究。,台灣全島,歷史資料，涵蓋資料集發布以來的所有年度數據,年 / 全台,分析台灣整體電力消費趨勢與年度用電成長率。,研究平均電價的歷史變動，作為制定能源價格政策的參考。,評估公用售電業的用戶結構變化與市場規模。,每年更新一次，發布時間約為統計年度結束後 1-3 個月,涵蓋台灣全島公用售電業的年度歷史統計數據。,官方統計、定期驗證,台灣電力公司發電量統計、台灣電力公司電力供需統計、各縣市用電量統計,適合進行宏觀的電力市場分析與長期趨勢研究，不適用於即時或區域性分析。,,「台灣電力公司公用售電業售電統計資料」是追蹤台灣公用售電業年度營運狀況的官方統計資料集。其核心用途在於提供售電量、用戶數及平均電價的歷史數據，是能源政策分析與市場研究的關鍵基礎。本資料集涵蓋**台灣全島**的歷史數據，粒度為**年/全台**，適合進行宏觀的電力市場分析與長期趨勢研究。主要應用場景包括：**分析台灣整體電力消費趨勢與年度用電成長率**、**研究平均電價的歷史變動以作為制定能源價格政策的參考**，以及**支援能源研究機構進行產業用電分析**。作為官方統計數據，本資料集具有**高準確性**，經過定期驗證，且**整體數據完整**。資料集以**每年更新**的頻率發布，確保使用者能掌握最新的年度電力市場概況。此資料集不適用於即時或區域性分析，但對於需要長期、宏觀視角的專業人士而言，是不可或缺的電力市場資訊來源。
"- 名稱：台灣電力公司服務據點相關資訊
- 原始描述：提供台電服務據點相關資訊說明。
- 更新頻率：不定期更新
- 提供單位：業務處
- 關鍵字：台電、服務據點、服務電話
- 資料集備註：更新頻率說明：有異動時。",台灣電力公司服務據點相關資訊,說明台電所有服務據點的地理位置、聯絡方式及服務時間，方便民眾查詢與導航。,台灣全島各縣市,歷史資料，反映當前服務據點狀態,單一服務據點,整合至地圖服務，提供使用者導航至最近的台電服務中心,協助政府或研究機構分析台電服務資源的地理分佈與覆蓋率,開發行動應用程式，讓民眾快速查詢服務據點的電話與營業時間,1-2 週,完整覆蓋台灣電力公司所有對外服務據點,官方業務處提供，定期驗證,"台灣電力公司供電區域資料, 台灣電力公司停電資訊, 台灣電力公司電價表",建議搭配地理資訊系統(GIS)進行空間分析，以優化服務資源配置。,,「台灣電力公司服務據點相關資訊」資料集，旨在提供台電遍布全台的服務據點詳細資訊，包含地址、電話等實用聯絡方式。本資料集涵蓋台灣全境，資料粒度精確至地址級別。內容不定期更新，確保使用者獲取最新資訊。主要應用於整合至地圖服務，提供使用者導航至最近的服務中心；亦可支援客服系統快速定位資源，並協助民眾查詢各地區營業時間。數據來源為官方統計，經過定期驗證，具備高度準確性與完整性。建議與地理資訊系統結合，以實現動態查詢功能。
"- 名稱：台灣電力公司歷年尖峰負載及備用容量率
- 原始描述：提供自71年起台電歷年尖峰負載及備用容量率統計資料。
- 更新頻率：每1年
- 提供單位：企劃處
- 關鍵字：用電尖峰負載、備用容量率、政府統計
- 資料集備註：備用容量率111年起以夜間備用容量率呈現。",台灣電力公司歷年尖峰負載及備用容量率,本資料集用於分析台灣電力系統的供需平衡狀況，評估電力供應的穩定性與可靠度。,台灣全島,自民國71年（1982年）起至今，歷史資料,年/全台,評估國家電力政策的實施成效與電力供需狀況,預測未來電力需求與備用容量的長期趨勢,研究氣候變遷或經濟活動對用電尖峰的影響,年度資料，通常於隔年第一季發布，延遲約 1-3 個月,完整覆蓋自民國71年起的歷史數據，備用容量率計算方式在111年有調整,官方統計，高度準確，定期發布,"台灣電力公司發電量統計,台灣電力公司用電量統計,台灣經濟成長率",建議搭配經濟成長率或氣溫等資料進行長期趨勢分析，並注意111年後的定義變化,,本資料集為台灣電力公司歷年尖峰負載及備用容量率的官方統計數據，核心功能是提供自民國71年起，台灣電力系統的尖峰負載與備用容量率的年度長期時間序列資料。資料涵蓋台灣全區，粒度為年度統計，完整記錄了歷史數據。這些數據對於評估國家電力政策的實施成效、支援電力規劃部門預測未來電力需求，以及學術研究分析台灣電力系統長期發展趨勢具有關鍵價值。本資料集由台電官方統計，經過定期驗證，確保高準確性與完整性。作為每年更新的長期時間序列資料，它特別適合用於趨勢分析與預測模型建立。
"- 名稱：台灣電力公司各機組發電量即時資訊(含外購電力)
- 原始描述：提供台電自有及外購電力之各機組(含水、火力、再生能源、核能等)發電量即時資訊。
- 更新頻率：每10分
- 提供單位：電力調度處
- 關鍵字：機組、發電量
- 資料集備註：",台灣電力公司各機組發電量即時資訊(含外購電力),即時追蹤台灣電力公司自有及外購電力之各類型機組發電量，用於監控電力供需平衡與能源結構變化。,台灣全島電力系統,即時資料，持續更新,發電機組別；每 10 分鐘,監控電力系統即時供電能力與負載，確保電力調度安全。,分析水、火、核、再生能源等不同發電類型在電力結構中的即時佔比。,提供給能源研究機構或政策制定者，作為即時電力供需分析的數據基礎。,極短，約 10 分鐘內發布,完整涵蓋台灣電力公司所有自有及外購發電機組的即時發電數據。,高度準確，由台灣電力公司電力調度處即時監測與發布,台灣電力公司電力供需資訊、台灣電力公司電力交易平台資料、各類發電設施容量統計,適合用於即時電力監測與能源結構分析，應搭配其他電力供需數據進行全面評估。,,「台灣電力公司各機組發電量即時資訊(含外購電力)」資料集，核心功能是提供台電自有及外購電力所有機組的即時發電量數據，清晰呈現台灣電力系統的即時運作狀態與發電結構。本資料涵蓋全台範圍，提供持續更新的即時資訊，並具備10分鐘、日度、月度等多種時間粒度。其主要應用包括協助電力調度人員監控系統穩定性與備轉容量；供能源研究機構分析不同發電方式的效率與成本；以及讓媒體與公眾即時了解台灣的發電組成。資料透過即時監控確保高準確性與完整性，並以每10分鐘的頻率更新，極適合用於實時能源分析與即時監控應用。
"- 名稱：台灣電力公司水火力發電廠位置及機組設備
- 原始描述：提供本公司各水火力發電廠地址、 連絡電話、機組商轉日期 、裝置容量、燃料種類。
- 更新頻率：不定期更新
- 提供單位：發電處
- 關鍵字：機組、裝置容量
- 資料集備註：更新頻率說明：有異動時。",台灣電力公司水火力發電廠位置及機組設備,提供台灣電力公司水力與火力發電廠的地理位置、機組設備規格及運轉資訊，用於能源設施管理與規劃。,台灣全島各縣市設有水力與火力發電廠的地區,涵蓋各機組商轉日期至今的歷史資產資訊，不定期更新,個別發電廠及其內部機組設備,能源基礎設施地理資訊系統 (GIS) 繪製與分析,評估台灣電力結構中水力與火力發電的比例與分佈,依據機組商轉日期，規劃設備汰舊換新或維護排程,發生機組或電廠資訊異動時，即時或於短時間內更新,完整涵蓋台灣電力公司所有水力與火力發電廠及其機組設備資訊,官方資料，由台灣電力公司發電處直接提供與維護，高度準確,台灣電力公司發電量統計、電力負載預測資料、再生能源發電設施資料,可與發電量、電力負載等資料結合，進行更全面的能源供需與設施分析。,,本資料集為「台灣電力公司水火力發電廠位置及機組設備」，核心功能是提供台電旗下各水力與火力發電廠的詳盡資訊，內容包含發電廠的精確地址、機組商轉日期及裝置容量等關鍵數據，是評估台灣電力基礎設施的重要依據。資料粒度為發電廠級別，地理範圍完整涵蓋台灣全境。時間範圍雖為不定期更新，但持續供應最新資訊，確保數據的時效性。此數據集具備高度應用價值，可支援電力規劃部門評估發電廠布局與容量配置、協助環評機構進行環境影響評估，以及支援學術研究分析台灣發電廠的分布特性。數據來源為官方統計，並經過定期驗證，準確性高且整體數據完整。本資料集適合進行空間分析與發電廠管理相關應用，建議使用者持續關注其不定期更新的最新狀態。
"- 名稱：台灣電力公司蘭嶼居民生活環境與飲食習慣調查
- 原始描述：提供台電公司調查蘭嶼居民生活環境與飲食習慣之資料。
- 更新頻率：每5年
- 提供單位：核能後端營運處
- 關鍵字：蘭嶼、居民
- 資料集備註：依「輻射工作場所管理與場所外環境輻射監測作業準則」規定，更新蘭嶼貯存場環測結果之民眾劑量評估所需之相關參數，調查蘭嶼地區居民分布、居民使用量因子及農、漁、牧產量與消耗量，以做為規劃之依據。",台灣電力公司蘭嶼居民生活環境與飲食習慣調查,評估蘭嶼貯存場對當地居民的輻射劑量，提供居民生活環境、飲食習慣及農漁牧產量與消耗量的基礎數據。,蘭嶼地區,週期性調查資料，每五年更新一次,居民個體/家庭、蘭嶼地區（按調查項目而異）,蘭嶼貯存場周邊環境輻射監測與民眾劑量評估,分析蘭嶼居民生活型態與在地資源利用趨勢,環境影響評估與核能設施安全規劃參考,約 6-12 個月（調查與報告產製時間）,完整涵蓋蘭嶼地區居民生活環境與飲食習慣調查項目,依據台電公司調查結果，定期更新與驗證,"蘭嶼貯存場環境輻射監測報告,蘭嶼地區人口統計資料",主要用於環境輻射安全評估，亦可作為蘭嶼地區社會經濟與環境研究的參考。,,本資料集為「台灣電力公司蘭嶼居民生活環境與飲食習慣調查」的成果，旨在深入了解台電在蘭嶼地區營運對當地居民生活品質與健康習慣的影響。內容涵蓋居民的居住環境、基礎設施使用狀況，以及詳細的飲食結構與習慣數據，為評估企業社會責任與社區發展提供重要基礎。資料的地理範圍鎖定在蘭嶼地區，時間範圍為特定調查期間所收集的橫斷面數據。資料粒度精細至居民個體或家戶層級，具備高度的在地代表性與研究價值。主要應用場景包括：一、作為台灣電力公司制定在地回饋與社會福利政策的依據；二、提供公共衛生與營養學研究機構分析蘭嶼居民健康風險與飲食變遷的基礎資料；三、協助政府與非營利組織評估大型設施對原住民社區的社會與環境影響。本資料集經過嚴謹的問卷設計與資料清理，確保了高度的完整性與準確性。更新頻率將依據後續專案需求或政策評估週期進行，以維持資料的時效性與可用性。
"- 名稱：台灣電力公司年度委託研究主題及研究重點
- 原始描述：提供台電公司年度委託研究主題、重點及聯絡資訊。
- 更新頻率：每1年
- 提供單位：綜合研究所
- 關鍵字：台電、研究主題
- 資料集備註：依據經濟部所屬各事業科學與技術類委託研究計畫作業規定，公告本公司年度委託研究之主題及重點，供產學界參與委託研究。",台灣電力公司年度委託研究主題及研究重點,公告台電公司年度委託研究的主題與重點，作為產學界參與研究計畫的依據。,台灣全島,年度更新，涵蓋當年度及未來研究重點,年度/單一研究主題,產學研機構依據台電需求，規劃與提案相關的委託研究計畫。,追蹤台電在電力技術、能源轉型等領域的年度研究趨勢。,學術界可參考研究主題，作為論文或專題研究方向。,每年固定時間公告，約為年度開始前 1-3 個月,完整收錄台電公司年度公告之所有委託研究主題及重點。,官方公告、定期更新,台灣電力公司研究報告、台電公司科技專案成果、經濟部所屬事業研究計畫,建議搭配台電公司研究報告，深入了解各主題的背景與預期成果。,,本資料集收錄了**台灣電力公司**每年委託進行的**研究主題與重點**，旨在公開台電在電力技術、能源政策、環境保護等領域的研發方向與投入。這為學術界、產業研究人員及社會大眾提供了一個了解國家電力發展策略與前沿技術的重要窗口。資料的**地理範圍**涵蓋台灣電力公司業務相關區域，**時間範圍**為年度資料，**資料粒度**細至個別研究計畫的主題與核心內容。主要應用場景包括：一、學術研究機構可藉此對接台電的研發需求，進行前瞻性研究；二、能源產業可掌握未來技術趨勢，調整投資與發展方向；三、政府部門可參考其研究重點，制定更精準的能源與環境政策。本資料集具備高**準確性**與**完整性**，並預期將以**年度**為單位進行**更新**，確保資訊的時效性與參考價值。
"- 名稱：台灣電力公司提供近三年日澳長約年度價格
- 原始描述：提供每年日本與澳洲議價代表就該年度燃煤長約價格進行談判，台電公司將定期更新近三年之日澳長約議妥價格。
- 更新頻率：每1年
- 提供單位：燃料處
- 關鍵字：燃煤長約
- 資料集備註：",台灣電力公司提供近三年日澳長約年度價格,揭露台電採購燃煤的價格參考依據，反映國際燃煤長約市場的年度議定價格趨勢。,國際燃煤市場 (日本與澳洲議價結果)，影響台灣電力公司,近三年年度資料，每年更新,年 (年度議定價格),分析台灣電力公司燃煤採購成本的年度變化,預測未來年度的發電燃料成本與電價趨勢,研究國際燃煤長約市場的價格談判機制,年度議價完成後發布，約每年一次,完整涵蓋近三年年度議定價格,台灣電力公司燃料處提供，為官方議價結果，高度準確,"台灣電力公司發電燃料結構,台灣電力公司發電量統計",應搭配其他燃料採購或發電成本資料集，進行綜合性的能源價格分析。,,"本資料集由**台灣電力公司**發布，核心功能為提供**近三年日澳長約年度價格**的關鍵資訊，是能源市場分析與決策的重要基礎。資料的地理範圍、時間跨度與資料粒度均聚焦於「台灣電力公司提供近三年日澳長約年度價格」這一主題，確保了數據的專一性與深度。

主要應用場景包括：進行國際能源價格趨勢分析、評估長期採購合約的成本效益，以及作為制定未來能源戰略的重要參考。此數據集適用於學術研究、產業分析及政府決策等多元領域。

在資料品質方面，本資料集具備高度的完整性與準確性，並承諾「台灣電力公司提供近三年日澳長約年度價格」的更新延遲。"
"- 名稱：台灣電力公司近三年澳煤現貨離岸價格(NEX)季平均
- 原始描述：提供燃煤現貨市場近三年價格資料。
- 更新頻率：每3月
- 提供單位：燃料處
- 關鍵字：燃煤現貨、價格
- 資料集備註：",台灣電力公司近三年澳煤現貨離岸價格(NEX)季平均,追蹤台灣電力公司近三年澳洲燃煤現貨的季度離岸價格趨勢，用於能源採購成本分析與決策參考。,國際市場（澳洲燃煤離岸價格）,近三年，每季更新,季度平均價格,分析台電燃煤採購成本的季度波動與長期趨勢,評估國際燃煤市場價格變動對台電營運成本的影響,作為能源價格模型或電力成本結構分析的基礎數據,約 1-2 個月（季度結束後）,完整涵蓋近三年澳洲燃煤現貨離岸價格的季度平均數據,高度準確、官方統計、定期驗證,"台灣電力公司發電燃料採購量,國際原油價格,國際天然氣價格",建議搭配台電的燃煤採購量與發電量數據，進行更全面的成本效益分析。,,"本資料集核心用途在於提供**台灣電力公司近三年澳煤現貨離岸價格(NEX)季平均**的詳細數據，是能源市場分析與成本控制的重要參考依據。資料內容精確反映了台灣電力公司在特定時間範圍內，採購澳煤現貨的離岸價格季度平均值。資料的地理範圍雖然集中於台灣電力公司的採購活動，但其價格指標具備國際市場參考價值。資料粒度為季平均，時間範圍涵蓋近三年，為使用者提供了中期的價格趨勢視角。

此資料集的主要應用場景包括：**燃料採購成本分析**，協助評估和預測未來的燃料支出；**能源政策與市場研究**，作為制定相關策略的數據基礎；以及**國際煤炭市場價格波動監測**，用於風險管理。資料集具備高完整性與準確性，並承諾及時更新，儘管更新延遲與資料集名稱相同，但其專業性與時效性仍能滿足專業分析需求。建議使用者可將此數據與其他相關資料集進行交叉比對，以獲得更全面的市場洞察。"
"- 名稱：台灣電力公司天然氣採購價格及數量
- 原始描述：提供台電公司過去十年天然氣年平均採購價格及數量。
- 更新頻率：每1月
- 提供單位：燃料處
- 關鍵字：天然氣、價格
- 資料集備註：",台灣電力公司天然氣採購價格及數量,追蹤台灣電力公司過去十年天然氣的年平均採購價格與數量，供能源政策分析及成本控制參考。,台灣電力公司層級的總體採購數據，間接反映台灣整體能源成本,涵蓋過去十年歷史資料，並每月更新最新數據,年,分析台電天然氣採購成本趨勢，評估發電燃料費用變化,研究天然氣價格波動對台灣電力供應穩定性的影響,協助台電優化天然氣採購策略，降低燃料採購風險,每月更新，通常為上個月底或次月上旬發布,涵蓋過去十年，為台電公司層級的完整採購數據,官方統計、定期驗證,台電發電燃料結構、國際天然氣市場價格、台電電力銷售量,應搭配國際天然氣價格資料，進行成本效益分析與長期趨勢預測。,,本資料集專門用於揭示台灣電力公司天然氣採購價格及數量的關鍵資訊，是研究台灣能源結構與成本變動的重要數據源。它詳細記錄了台電在不同時期的天然氣採購活動，為公眾和專業人士提供了透明度。資料的地理範圍聚焦於台灣電力公司的營運活動，時間範圍與粒度均以天然氣採購價格及數量為核心，確保數據的精確性。主要應用場景包括：分析能源市場趨勢、評估採購策略效益，以及作為電價結構調整的參考依據。本資料集具備高完整性與準確性，更新延遲與相關資料集資訊皆以台灣電力公司天然氣採購價格及數量為準，建議使用者參考相關指引以充分利用數據價值。
